,date_eod,close,hilow,volume
0,1997-07-02,7.125,7.0,1113500
1,1997-07-03,6.9375,7.21875,187600
2,1997-07-07,6.625,6.6875,342200
3,1997-07-08,6.75,6.75,99200
4,1997-07-09,7.75,7.375,605000
5,1997-07-10,8.75,8.5,369400
6,1997-07-11,9.125,9.4375,353500
7,1997-07-14,9.5,9.5,329000
8,1997-07-15,9.875,9.65625,243900
9,1997-07-16,11.125,10.65625,456500
10,1997-07-17,11.125,11.3125,435500
11,1997-07-18,10.5,10.6875,298200
12,1997-07-21,10.0,10.0,193900
13,1997-07-22,10.25,10.0,72900
14,1997-07-23,10.625,10.4375,56700
15,1997-07-24,10.875,10.625,80800
16,1997-07-25,11.25,11.25,143100
17,1997-07-28,10.625,11.375,342300
18,1997-07-29,10.25,10.375,115000
19,1997-07-30,9.75,9.9375,125600
20,1997-07-31,9.375,9.3125,160300
21,1997-08-01,9.125,8.9375,57600
22,1997-08-04,9.5,9.5,124900
23,1997-08-05,9.875,9.875,108800
24,1997-08-06,9.875,9.9375,125800
25,1997-08-07,9.75,9.75,72100
26,1997-08-08,9.75,9.6875,50500
27,1997-08-11,9.5,9.5625,71100
28,1997-08-12,9.125,9.25,156300
29,1997-08-13,9.125,9.0,96600
30,1997-08-14,9.0,9.03125,91200
31,1997-08-15,9.0,9.03125,82600
32,1997-08-18,9.125,9.0625,39300
33,1997-08-19,9.0,9.0,60100
34,1997-08-20,9.25,9.125,54000
35,1997-08-21,9.125,9.25,19100
36,1997-08-22,9.125,8.875,39600
37,1997-08-25,9.375,9.0625,28000
38,1997-08-26,8.75,9.0625,16900
39,1997-08-27,8.875,8.96875,13200
40,1997-08-28,8.9375,9.03125,20500
41,1997-08-29,10.375,9.875,116200
42,1997-09-02,10.9375,10.9375,75700
43,1997-09-03,10.125,10.5625,87000
44,1997-09-04,9.625,9.75,39600
45,1997-09-05,9.5,9.4375,167700
46,1997-09-08,9.75,9.75,69200
47,1997-09-09,9.75,9.8125,10100
48,1997-09-10,10.25,10.125,39600
49,1997-09-11,10.0,10.0,21100
50,1997-09-12,9.9375,10.0,54100
51,1997-09-15,9.89063,10.0,35500
52,1997-09-16,9.5625,9.78125,22700
53,1997-09-17,10.48438,10.03125,134400
54,1997-09-18,10.0625,10.34375,116100
55,1997-09-19,9.625,9.9375,45300
56,1997-09-22,10.125,9.78125,155400
57,1997-09-23,10.875,10.6875,390000
58,1997-09-24,11.0625,11.0,352000
59,1997-09-25,11.0,11.0,255800
60,1997-09-26,11.0,11.25,91200
61,1997-09-29,11.8125,11.6875,166200
62,1997-09-30,11.625,12.125,258800
63,1997-10-01,12.0,11.9375,198800
64,1997-10-02,11.9375,12.03125,75500
65,1997-10-03,11.75,11.75,121000
66,1997-10-06,11.5,11.59375,110100
67,1997-10-07,11.875,11.75,160200
68,1997-10-08,11.875,11.75,65900
69,1997-10-09,11.625,11.6875,78800
70,1997-10-10,11.0,11.3125,39300
71,1997-10-13,11.875,11.4375,99300
72,1997-10-14,11.625,11.9375,94500
73,1997-10-15,11.625,11.6875,31100
74,1997-10-16,11.75,11.78125,141100
75,1997-10-17,11.25,11.5625,68500
76,1997-10-20,11.875,11.5,86600
77,1997-10-21,16.0,13.9375,694400
78,1997-10-22,13.75,14.5625,799400
79,1997-10-23,15.3125,14.375,1463500
80,1997-10-24,14.0,14.71875,1028900
81,1997-10-27,12.5625,13.5625,1209800
82,1997-10-28,14.0,12.5625,1145100
83,1997-10-29,14.125,14.4375,1160700
84,1997-10-30,13.625,13.875,455500
85,1997-10-31,14.0,14.125,240800
86,1997-11-03,14.25,14.3125,212800
87,1997-11-04,14.0,14.03125,183900
88,1997-11-05,14.3125,14.4375,680300
89,1997-11-06,14.125,14.625,327200
90,1997-11-07,13.5,13.625,390200
91,1997-11-10,13.5625,13.8125,367600
92,1997-11-11,13.25,13.375,267900
93,1997-11-12,12.875,12.75,275900
94,1997-11-13,12.5,12.5625,253000
95,1997-11-14,12.375,12.3125,163300
96,1997-11-17,11.875,12.3125,444400
97,1997-11-18,11.75,11.90625,130700
98,1997-11-19,11.0,11.25,344400
99,1997-11-20,10.5,10.875,374300
100,1997-11-21,10.5,10.625,417300
101,1997-11-24,11.5,11.0625,213900
102,1997-11-25,11.4375,11.5,273700
103,1997-11-26,11.5,11.25,169300
104,1997-11-28,11.5,11.5625,74100
105,1997-12-01,11.25,11.25,152900
106,1997-12-02,11.125,11.125,81900
107,1997-12-03,11.125,11.0625,89700
108,1997-12-04,11.25,11.15625,176500
109,1997-12-05,11.9375,11.71875,894100
110,1997-12-08,12.75,12.375,521600
111,1997-12-09,12.5625,12.84375,239000
112,1997-12-10,12.375,12.3125,97700
113,1997-12-11,11.9375,11.8125,138300
114,1997-12-12,11.875,12.0,66200
115,1997-12-15,11.625,11.96875,65600
116,1997-12-16,11.75,11.75,116600
117,1997-12-17,11.875,12.0,62600
118,1997-12-18,12.0,12.0625,250400
119,1997-12-19,11.625,11.75,109500
120,1997-12-22,11.6875,11.75,99700
121,1997-12-23,11.4375,11.59375,66100
122,1997-12-24,11.0,10.75,132500
123,1997-12-26,10.4375,10.65625,28200
124,1997-12-29,10.9375,10.6875,146400
125,1997-12-30,11.25,11.15625,83100
126,1997-12-31,10.9375,11.0,85400
127,1998-01-02,10.875,10.90625,89900
128,1998-01-05,10.75,10.78125,146500
129,1998-01-06,10.5,10.375,242000
130,1998-01-07,10.6875,10.71875,188100
131,1998-01-08,10.625,10.875,147600
132,1998-01-09,9.875,10.3125,219900
133,1998-01-12,9.875,9.5,108800
134,1998-01-13,9.5625,9.96875,146600
135,1998-01-14,9.625,9.71875,102000
136,1998-01-15,9.75,9.71875,156900
137,1998-01-16,10.625,10.375,609600
138,1998-01-20,7.3125,7.53125,2946000
139,1998-01-21,6.8125,7.0625,1121300
140,1998-01-22,6.5625,6.1875,1377800
141,1998-01-23,6.875,6.625,815100
142,1998-01-26,7.15625,7.328125,929400
143,1998-01-27,7.1875,7.0625,352700
144,1998-01-28,7.0,7.0625,150100
145,1998-01-29,6.5625,6.78125,182300
146,1998-01-30,6.5,6.3125,290700
147,1998-02-02,6.5625,6.65625,209600
148,1998-02-03,6.28125,6.453125,159400
149,1998-02-04,6.1875,6.25,174200
150,1998-02-05,6.0625,6.203125,262600
151,1998-02-06,6.03125,6.15625,162000
152,1998-02-09,6.21875,6.15625,316100
153,1998-02-10,6.1875,6.1875,241900
154,1998-02-11,6.0,6.0625,303100
155,1998-02-12,5.84375,5.890625,352500
156,1998-02-13,5.5,5.5625,495300
157,1998-02-17,5.65625,5.625,222800
158,1998-02-18,6.125,5.9375,273100
159,1998-02-19,6.21875,6.21875,224100
160,1998-02-20,6.0,6.125,244100
161,1998-02-23,6.125,6.0625,189800
162,1998-02-24,6.09375,6.0625,129700
163,1998-02-25,6.0625,6.0625,118600
164,1998-02-26,6.09375,6.0625,136500
165,1998-02-27,6.0,5.984375,114800
166,1998-03-02,7.375,6.75,1210800
167,1998-03-03,7.0625,7.25,464600
168,1998-03-04,7.25,7.203125,424700
169,1998-03-05,7.4375,7.25,212800
170,1998-03-06,7.6875,7.6875,490900
171,1998-03-09,7.6875,7.71875,148900
172,1998-03-10,7.65625,7.75,140800
173,1998-03-11,7.375,7.46875,211500
174,1998-03-12,7.0625,7.21875,211900
175,1998-03-13,6.9375,6.96875,265000
176,1998-03-16,6.75,6.71875,348000
177,1998-03-17,6.5625,6.5625,173500
178,1998-03-18,6.5,6.46875,241200
179,1998-03-19,6.4375,6.375,206100
180,1998-03-20,6.25,6.3125,266900
181,1998-03-23,6.9375,6.8125,443900
182,1998-03-24,7.03125,7.03125,410400
183,1998-03-25,6.875,6.875,146200
184,1998-03-26,7.0,7.015625,214400
185,1998-03-27,7.0,7.0625,155300
186,1998-03-30,6.875,7.0,116200
187,1998-03-31,7.0,7.125,506300
188,1998-04-01,6.875,7.03125,115300
189,1998-04-02,6.9375,6.90625,156200
190,1998-04-03,6.8125,6.78125,72300
191,1998-04-06,6.625,6.75,95500
192,1998-04-07,6.4375,6.59375,103900
193,1998-04-08,6.75,6.65625,118500
194,1998-04-09,6.6875,6.78125,52900
195,1998-04-13,6.5625,6.625,64900
196,1998-04-14,7.0,6.84375,263400
197,1998-04-15,6.75,6.90625,106400
198,1998-04-16,6.75,6.6875,140900
199,1998-04-17,6.625,6.6875,48700
200,1998-04-20,6.75,6.65625,66200
201,1998-04-21,6.625,6.65625,91400
202,1998-04-22,6.625,6.640625,51500
203,1998-04-23,6.5,6.546875,62000
204,1998-04-24,6.375,6.34375,119200
205,1998-04-27,6.1875,6.25,63800
206,1998-04-28,6.5,6.6875,192500
207,1998-04-29,6.625,6.625,73800
208,1998-04-30,6.9375,6.8125,256800
209,1998-05-01,6.9375,6.9375,237900
210,1998-05-04,6.875,7.03125,121700
211,1998-05-05,6.75,6.71875,116900
212,1998-05-06,6.5625,6.65625,158900
213,1998-05-07,6.5625,6.59375,72100
214,1998-05-08,6.875,7.03125,629700
215,1998-05-11,6.75,6.9375,302300
216,1998-05-12,6.5,6.5625,161300
217,1998-05-13,6.75,6.625,266200
218,1998-05-14,7.625,7.8125,2414300
219,1998-05-15,7.125,7.5625,638400
220,1998-05-18,7.0625,7.09375,333000
221,1998-05-19,6.8125,7.03125,228600
222,1998-05-20,6.8125,6.9375,169600
223,1998-05-21,6.25,6.5,481800
224,1998-05-22,6.5625,6.5625,246900
225,1998-05-26,6.4375,6.5625,214900
226,1998-05-27,6.375,6.25,190300
227,1998-05-28,6.1875,6.25,95800
228,1998-05-29,6.1875,6.21875,84500
229,1998-06-01,6.25,6.3125,120400
230,1998-06-02,6.0625,6.140625,79900
231,1998-06-03,6.0,6.125,135000
232,1998-06-04,6.0625,6.109375,64700
233,1998-06-05,6.0625,6.078125,35900
234,1998-06-08,5.9375,6.03125,142300
235,1998-06-09,5.8125,6.078125,231300
236,1998-06-10,5.6875,5.8125,155600
237,1998-06-11,5.75,5.8125,123600
238,1998-06-12,5.625,5.625,38500
239,1998-06-15,5.75,5.71875,70600
240,1998-06-16,5.9375,5.859375,40900
241,1998-06-17,5.53125,5.75,71200
242,1998-06-18,5.5625,5.59375,101200
243,1998-06-19,5.5,5.625,114600
244,1998-06-22,5.5,5.40625,53000
245,1998-06-23,5.40625,5.6875,227100
246,1998-06-24,5.3125,5.28125,135200
247,1998-06-25,5.0,5.09375,150600
248,1998-06-26,5.0625,5.125,82800
249,1998-06-29,5.0,5.0625,43200
250,1998-06-30,4.875,4.96875,42500
251,1998-07-01,4.5,4.6875,136300
252,1998-07-02,4.875,4.375,568200
253,1998-07-06,4.75,4.6875,139100
254,1998-07-07,4.5,4.5,301500
255,1998-07-08,4.5,4.4375,53700
256,1998-07-09,4.5,4.46875,47700
257,1998-07-10,4.5625,4.5,46000
258,1998-07-13,4.3125,4.3125,67500
259,1998-07-14,4.375,4.40625,83700
260,1998-07-15,4.375,4.40625,82000
261,1998-07-16,4.375,4.4375,66400
262,1998-07-17,4.5,4.625,542200
263,1998-07-20,4.9375,4.8125,129200
264,1998-07-21,5.0625,5.3125,209600
265,1998-07-22,5.0,5.0625,171900
266,1998-07-23,4.0,4.1875,263100
267,1998-07-24,4.0,4.046875,141700
268,1998-07-27,4.25,4.21875,360100
269,1998-07-28,4.1875,4.15625,79900
270,1998-07-29,4.6875,4.84375,682200
271,1998-07-30,4.1875,4.421875,224300
272,1998-07-31,4.0,4.125,155600
273,1998-08-03,4.0625,4.03125,109900
274,1998-08-04,4.0625,4.03125,234200
275,1998-08-05,4.0625,4.03125,93400
276,1998-08-06,3.59375,3.8125,138100
277,1998-08-07,3.53125,3.71875,300900
278,1998-08-10,3.6875,3.71875,96600
279,1998-08-11,3.5,3.5,98000
280,1998-08-12,3.625,3.78125,75600
281,1998-08-13,3.5625,3.375,133700
282,1998-08-14,3.5,3.5625,97300
283,1998-08-17,3.5,3.53125,108600
284,1998-08-18,3.53125,3.5625,47400
285,1998-08-19,3.375,3.5,92100
286,1998-08-20,3.125,3.25,99600
287,1998-08-21,3.125,3.125,68700
288,1998-08-24,3.0,3.03125,59300
289,1998-08-25,2.875,3.203125,228100
290,1998-08-26,2.625,2.75,76800
291,1998-08-27,2.375,2.359375,146300
292,1998-08-28,2.3125,2.1875,131300
293,1998-08-31,1.875,2.09375,168500
294,1998-09-01,1.96875,1.90625,144700
295,1998-09-02,2.8125,2.421875,135800
296,1998-09-03,2.125,2.5,100200
297,1998-09-04,2.625,2.4375,70900
298,1998-09-08,2.625,2.875,85800
299,1998-09-09,2.875,2.90625,91800
300,1998-09-10,2.375,2.65625,91500
301,1998-09-11,2.25,2.5,125200
302,1998-09-14,2.25,2.3125,144400
303,1998-09-15,2.25,2.3125,58500
304,1998-09-16,2.34375,2.3125,95000
305,1998-09-17,3.21875,2.90625,562400
306,1998-09-18,3.125,3.3125,313500
307,1998-09-21,3.0,3.09375,97000
308,1998-09-22,3.0,3.0625,52000
309,1998-09-23,2.6875,2.90625,81900
310,1998-09-24,3.0,3.03125,180000
311,1998-09-25,2.875,2.90625,97600
312,1998-09-28,3.0,2.90625,25700
313,1998-09-29,2.9375,2.984375,81000
314,1998-09-30,2.5625,2.78125,89300
315,1998-10-01,2.875,2.75,49900
316,1998-10-02,2.75,2.8125,52600
317,1998-10-05,2.625,2.6875,41300
318,1998-10-06,2.625,2.8125,57400
319,1998-10-07,2.5625,2.75,74600
320,1998-10-08,2.75,2.6875,75200
321,1998-10-09,2.5,2.625,40700
322,1998-10-12,2.625,2.5,45600
323,1998-10-13,2.5,2.5,28800
324,1998-10-14,2.25,2.4375,68400
325,1998-10-15,2.5625,2.46875,57100
326,1998-10-16,2.4375,2.40625,52600
327,1998-10-19,2.5,2.53125,29200
328,1998-10-20,2.5,2.53125,51300
329,1998-10-21,2.96875,2.78125,190600
330,1998-10-22,2.4375,2.625,150300
331,1998-10-23,2.9375,2.71875,752300
332,1998-10-26,3.15625,3.0625,312600
333,1998-10-27,3.0,3.0625,56800
334,1998-10-28,2.875,2.9375,31600
335,1998-10-29,3.5,3.28125,399100
336,1998-10-30,3.8125,3.6875,457300
337,1998-11-02,3.875,4.0625,210300
338,1998-11-03,3.625,3.84375,88700
339,1998-11-04,3.3125,3.59375,100700
340,1998-11-05,3.5,3.46875,62900
341,1998-11-06,3.5,3.59375,82800
342,1998-11-09,3.5,3.53125,31600
343,1998-11-10,3.375,3.375,90600
344,1998-11-11,3.25,3.3125,54800
345,1998-11-12,3.3125,3.28125,38600
346,1998-11-13,3.25,3.28125,48700
347,1998-11-16,3.25,3.3125,55300
348,1998-11-17,3.0625,3.0,191400
349,1998-11-18,2.9375,2.96875,46300
350,1998-11-19,2.8125,2.9375,94300
351,1998-11-20,2.875,2.90625,47300
352,1998-11-23,2.875,2.96875,211700
353,1998-11-24,2.6875,2.84375,130300
354,1998-11-25,2.9375,2.8125,114500
355,1998-11-27,2.875,2.84375,159400
356,1998-11-30,2.9375,2.875,391400
357,1998-12-01,3.6875,3.21875,929800
358,1998-12-02,9.375,8.109375,23839400
359,1998-12-03,8.875,11.375,20805500
360,1998-12-04,7.875,8.96875,6483400
361,1998-12-07,7.25,7.1875,1763500
362,1998-12-08,6.75,6.875,1075300
363,1998-12-09,5.625,6.09375,1562700
364,1998-12-10,6.125,6.375,1883300
365,1998-12-11,6.5,6.5,567600
366,1998-12-14,6.0625,6.1875,243800
367,1998-12-15,6.125,6.0625,308000
368,1998-12-16,5.875,6.09375,328600
369,1998-12-17,5.5625,5.84375,283300
370,1998-12-18,5.75,5.78125,308200
371,1998-12-21,5.53125,5.6875,375800
372,1998-12-22,5.0625,5.234375,519600
373,1998-12-23,4.8125,4.875,535800
374,1998-12-24,6.5,6.171875,1701500
375,1998-12-28,6.625,7.03125,1075300
376,1998-12-29,6.125,6.453125,283200
377,1998-12-30,5.6875,5.828125,347100
378,1998-12-31,5.625,5.5625,437100
379,1999-01-04,5.6875,6.0,272100
380,1999-01-05,6.03125,5.96875,241700
381,1999-01-06,6.5,7.03125,1621100
382,1999-01-07,6.25,6.4375,450700
383,1999-01-08,6.75,6.46875,440200
384,1999-01-11,7.0,7.03125,811300
385,1999-01-12,6.875,7.0,327800
386,1999-01-13,6.5625,6.625,455800
387,1999-01-14,6.6875,6.75,191700
388,1999-01-15,6.625,6.5625,174300
389,1999-01-19,6.625,6.75,174900
390,1999-01-20,6.375,6.59375,187200
391,1999-01-21,6.25,6.25,186000
392,1999-01-22,6.09375,6.125,174200
393,1999-01-25,5.9375,5.96875,144700
394,1999-01-26,5.96875,5.96875,255300
395,1999-01-27,5.875,5.9375,234500
396,1999-01-28,5.0625,5.453125,517700
397,1999-01-29,4.875,4.9375,449100
398,1999-02-01,4.875,4.8125,385800
399,1999-02-02,4.75,4.78125,113800
400,1999-02-03,4.5,4.65625,179600
401,1999-02-04,5.625,5.46875,958400
402,1999-02-05,5.0625,5.25,256200
403,1999-02-08,5.4375,5.1875,282500
404,1999-02-09,5.0,5.203125,117100
405,1999-02-10,4.875,5.0,143900
406,1999-02-11,5.0,5.03125,122300
407,1999-02-12,4.75,4.921875,113300
408,1999-02-16,4.75,4.78125,130900
409,1999-02-17,4.5625,4.71875,120700
410,1999-02-18,4.625,4.84375,366700
411,1999-02-19,4.6875,4.75,116500
412,1999-02-22,4.75,4.90625,140700
413,1999-02-23,4.65625,4.78125,90500
414,1999-02-24,4.53125,4.640625,88600
415,1999-02-25,4.5,4.5625,60600
416,1999-02-26,4.375,4.53125,103300
417,1999-03-01,4.28125,4.4375,64600
418,1999-03-02,4.03125,4.21875,207000
419,1999-03-03,4.0,3.984375,108500
420,1999-03-04,3.875,3.875,112100
421,1999-03-05,3.9375,3.9375,61600
422,1999-03-08,3.8125,3.84375,81500
423,1999-03-09,3.875,3.78125,130800
424,1999-03-10,3.75,3.8125,90600
425,1999-03-11,4.125,4.0,161500
